項番,記事URL,記事公開日,記事レーティング,記事カテゴリ,検証対象URL,検証対象,クレーム,証拠URL,証拠説明文,証拠先行ラベル,逆クレームラベル,証拠URLリスト,真実性ラベル,正当性説明文,画像数,画像1_改ざんラベル,画像1_OOCラベル,画像1_AI生成ラベル,画像2_改ざんラベル,画像2_OOCラベル,画像2_AI生成ラベル,画像3_改ざんラベル,画像3_OOCラベル,画像3_AI生成ラベル,画像4_改ざんラベル,画像4_OOCラベル,画像4_AI生成ラベル,動画数,動画1_改ざんラベル,動画1_OOCラベル,動画1_AI生成ラベル,再利用ラベル,OOCラベル
113,https://www.factcheckcenter.jp/fact-check/international/fact-checking-summary-french-riots-misinformation/,2023/7/21,誤り,国際,https://x.com/i/status/1675403013748342784,画像1,投稿された画像は、「2023年6月27日に起きた警察官が交通検問を拒否した北アフリカ系の17歳の少年を射殺した事件に対する抗議暴動」としてフランスで撮影された警察車両の画像である。,https://www.bbc.com/japanese/features-and-analysis-66083524,投稿された画像は、Netflixが2022年から配信公開しているフランス映画「アテナ（原題：Athena）」の一場面の画像である。,False,False,https://www.bbc.com/japanese/features-and-analysis-66083524 https://www.netflix.com/jp/title/81312828 https://www.youtube.com/watch?v=J0zvbNOAGrc&t=279s https://www.youtube.com/watch?v=ChoqvTPsJlA&t=56s https://www3.nhk.or.jp/news/html/20230704/k10014118211000.html,False,①について、拡散した画像はフランス映画の一場面で、「フランスで1時間前に撮影された写真」ではない。したがって、今回取り上げた言説は全体として「誤り」であると判定した。,1,False,True,False,-,-,-,-,-,-,-,-,-,0,-,-,-,True,True
114,https://www.factcheckcenter.jp/fact-check/international/fact-checking-summary-french-riots-misinformation/,2023/7/21,誤り,国際,https://x.com/i/status/1675403013748342784,画像1,投稿された画像は、Netflixが2022年から配信公開しているフランス映画「アテナ（原題：Athena）」の一場面の画像である。,https://www.bbc.com/japanese/features-and-analysis-66083524,投稿された画像は、Netflixが2022年から配信公開しているフランス映画「アテナ（原題：Athena）」の一場面の画像である。,False,True,https://www.bbc.com/japanese/features-and-analysis-66083524 https://www.netflix.com/jp/title/81312828 https://www.youtube.com/watch?v=J0zvbNOAGrc&t=279s https://www.youtube.com/watch?v=ChoqvTPsJlA&t=56s https://www3.nhk.or.jp/news/html/20230704/k10014118211000.html,True,拡散した画像はフランス映画の一場面で、「フランスで1時間前に撮影された写真」ではない。したがって、今回取り上げた言説は全体として「誤り」であると判定した。したがって、2023年6月27日、警察官が交通検問を拒否した北アフリカ系の17歳の少年を射殺に対する抗議の暴動における、「フランスで撮影された警察車両」の写真ではないという言説は正しいと判定した。,1,False,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,True,False
115,https://www.factcheckcenter.jp/fact-check/health/microwave-nutrient-destruction-carcinogens/,2023/7/31,誤り,医療・健康,https://x.com/i/status/1645041716075057155,"テキスト,動画1",電子レンジは食べ物の栄養を破壊する。,https://comeon-house.jp/fromhouse/159/index.html,電子レンジは食べ物の栄養を破壊しない。,NA,False,https://media.kepco.co.jp/study/17560318 https://www.who.int/news-room/questions-and-answers/item/radiation-microwave-ovens https://comeon-house.jp/fromhouse/159/index.html,False,電子レンジでの調理による安全性や栄養価は従来のオーブンで調理するものと同様だ。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,NA,False
116,https://www.factcheckcenter.jp/fact-check/health/microwave-nutrient-destruction-carcinogens/,2023/7/31,誤り,医療・健康,https://x.com/i/status/1645041716075057155,"テキスト,動画1",電子レンジは、発がん物質を発生させる。,https://comeon-house.jp/fromhouse/159/index.html,電子レンジは、発がん物質を発生させない。,NA,False,https://media.kepco.co.jp/_ct/17560318 https://www.who.int/news-room/questions-and-answers/item/radiation-microwave-ovens https://www.pref.fukui.lg.jp/doc/021115/qa23.html https://comeon-house.jp/fromhouse/159/index.html https://www.who.int/news-room/questions-and-answers/item/radiation-electromagnetic-fields,False,電子レンジでの調理による安全性や栄養価は従来のオーブンで調理するものと同様だ。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,NA,False
117,https://www.factcheckcenter.jp/fact-check/health/microwave-nutrient-destruction-carcinogens/,2023/7/31,誤り,医療・健康,https://x.com/i/status/1645041716075057155,"テキスト,動画1",電子レンジは食べ物の栄養を破壊しない。,https://comeon-house.jp/fromhouse/159/index.html,電子レンジは食べ物の栄養を破壊しない。,NA,True,https://media.kepco.co.jp/study/17560318 https://www.who.int/news-room/questions-and-answers/item/radiation-microwave-ovens https://comeon-house.jp/fromhouse/159/index.html,True,電子レンジでの調理による安全性や栄養価は従来のオーブンで調理するものと同様だ。したがって、電子レンジは食べ物の栄養を破壊していないという言説は正しいと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,NA,True
118,https://www.factcheckcenter.jp/fact-check/health/microwave-nutrient-destruction-carcinogens/,2023/7/31,誤り,医療・健康,https://x.com/i/status/1645041716075057155,"テキスト,動画1",電子レンジは、発がん物質を発生させない。,https://comeon-house.jp/fromhouse/159/index.html,電子レンジは、発がん物質を発生させない。,NA,True,https://media.kepco.co.jp/study/17560318 https://www.who.int/news-room/questions-and-answers/item/radiation-microwave-ovens https://comeon-house.jp/fromhouse/159/index.html,True,電子レンジでの調理による安全性や栄養価は従来のオーブンで調理するものと同様だ。したがって、電子レンジは、発がん物質を発生させないという言説は正しいと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,NA,True
119,https://www.factcheckcenter.jp/fact-check/international/maui-island-fire-laser-beam-before-incorrect/,2023/8/16,誤り,国際,https://x.com/i/status/1689759844851765251,"テキスト,画像1",2023年8月8日に発生したマウイ島火災は、その直前にレーザーのような光線がハワイのマウイ島を襲った。,https://x.com/i/status/999131732057063425,投稿された画像は、2018年5月23日にSpaceXが投稿したロケット発射時の写真である。,True,False,https://x.com/i/status/999131732057063425 https://www.politifact.com/factchecks/2023/aug/11/instagram-posts/photo-used-to-claim-direct-energy-assault-started/#sources https://www3.nhk.or.jp/news/html/20230816/k10014164181000.html https://www.yomiuri.co.jp/world/20230815-OYT1T50155/,False,添付された写真は2018年のロケット発射時のもので、「マウイ島火災発生の直前にレーザーのような光線がハワイのマウイ島を襲った」は誤り。,1,False,True,False,-,-,-,-,-,-,-,-,-,0,-,-,-,True,True
120,https://www.factcheckcenter.jp/fact-check/international/maui-island-fire-laser-beam-before-incorrect/,2023/8/16,誤り,国際,https://x.com/i/status/1689759844851765251,"テキスト,画像1",投稿された画像は、2018年5月23日にSpaceXが投稿したロケット発射時の写真である。,https://x.com/i/status/999131732057063425,投稿された画像は、2018年5月23日にSpaceXが投稿したロケット発射時の写真である。,True,True,https://x.com/i/status/999131732057063425 https://www.politifact.com/factchecks/2023/aug/11/instagram-posts/photo-used-to-claim-direct-energy-assault-started/#sources https://www3.nhk.or.jp/news/html/20230816/k10014164181000.html https://www.yomiuri.co.jp/world/20230815-OYT1T50155/,True,添付された写真は2018年のロケット発射時のもので、「マウイ島火災発生の直前にレーザーのような光線がハワイのマウイ島を襲った」ものでない。したがって、言説は正しいと判定した。,1,False,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,True,False
121,https://www.factcheckcenter.jp/fact-check/international/china-tap-water-brown-image-false/,2023/9/13,誤り,国際,https://x.com/i/status/1697915033249054720,"テキスト,画像1",中国の水道水は茶色である。,https://tpakira.hatenablog.com/entry/2021/06/29/130206,断水後、中国の水道水は茶色に変色することがある。,True,False,https://tpakira.hatenablog.com/entry/2021/06/29/130206,False,対象の画像は断水直後に水を流すときに、水道管に付着していた鉄分やマンガンが流れ、一時的に茶色くなったものであり、日常的に水道水が茶色なわけではない。日本でも濁り水として見られる現象である。したがって、「中国の水道水は茶色」なわけではなく、言説は誤りと判定した。,1,True,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,True,False
122,https://www.factcheckcenter.jp/fact-check/international/china-tap-water-brown-image-false/,2023/9/13,誤り,国際,https://x.com/i/status/1697915033249054720,"テキスト,画像1",断水後、中国の水道水は茶色に変色することがある。,https://tpakira.hatenablog.com/entry/2021/06/29/130206,断水後、中国の水道水は茶色に変色することがある。,True,True,https://tpakira.hatenablog.com/entry/2021/06/29/130206,True,対象の画像は断水直後に水を流すときに、水道管に付着していた鉄分やマンガンが流れ、一時的に茶色くなったものであり、日常的に水道水が茶色なわけではない。日本でも濁り水として見られる現象である。したがって、「中国の水道水は茶色」なわけではなく、言説は誤りと判定した。,1,True,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,True,False
123,https://www.factcheckcenter.jp/fact-check/health/false-claims-about-hpv-vaccine/,2023/9/21,誤り,医療・健康,https://x.com/i/status/1686309089343934464,"テキスト,画像1",子宮頸がんワクチンにガの幼虫細胞が入っている。,https://gskpro.com/content/dam/global/hcpportal/ja_JP/products-info/cervarix/cervarix.pdf,子宮頸がんワクチンにガの幼虫細胞は入っていない。,False,False,https://www.mhlw.go.jp/bunya/kenkou/kekkaku-kansenshou28/index.html https://gskpro.com/content/dam/global/hcpportal/ja_JP/products-info/cervarix/cervarix.pdf,False,「子宮頸がんワクチンにガの幼虫細胞が入っている」は誤り。バキュロウイルスとイラクサギンウワバ幼虫細胞を使う2価ワクチンの製造法は既に確立されており、安全性に問題はないうえに、製造過程で精製・除去されている。,1,True,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
124,https://www.factcheckcenter.jp/fact-check/health/false-claims-about-hpv-vaccine/,2023/9/21,誤り,医療・健康,https://x.com/i/status/1686309089343934464,"テキスト,画像1",子宮頸がんワクチンにガの幼虫細胞は入っていない。,https://gskpro.com/content/dam/global/hcpportal/ja_JP/products-info/cervarix/cervarix.pdf,子宮頸がんワクチンにガの幼虫細胞は入っていない。,False,True,https://www.mhlw.go.jp/bunya/kenkou/kekkaku-kansenshou28/index.html https://gskpro.com/content/dam/global/hcpportal/ja_JP/products-info/cervarix/cervarix.pdf,True,バキュロウイルスとイラクサギンウワバ幼虫細胞を使う2価ワクチンの製造法は既に確立されており、安全性に問題はないうえに、製造過程で精製・除去されている。したがって、子宮頸がんワクチンにガの幼虫細胞は入っていないという言説は正しいと判定した。,1,True,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,True,False
125,https://www.factcheckcenter.jp/fact-check/international/false-claims-about-trump-and-biden/,2023/9/29,誤り,国際,https://x.com/i/status/1703182466708910307,"テキスト,画像1",2023年9月8日～14日にかけて実施した世論調査結果によると、トランプがバイデンに大差をつけているとロイターが報じている。,https://www.reuters.com/world/us/biden-weighed-by-economic-concerns-age-potential-2024-rematch-with-trump-2023-09-15/,投稿された画像は2023年9月8日～14日にかけて実施したロイターの世論調査結果ではない。,True,False,https://www.reuters.com/fact-check/simulated-2024-election-poll-numbers-falsely-attributed-reuters-2023-09-19/ https://www.reuters.com/world/us/biden-weighed-by-economic-concerns-age-potential-2024-rematch-with-trump-2023-09-15/,False,「トランプ大統領がバイデンに大差をつけているとロイターが報じている」という言説は誤り。言説が根拠にしている画像は、ロイターが作成したものではない。,1,False,True,False,-,-,-,-,-,-,-,-,-,0,-,-,-,NA,True
126,https://www.factcheckcenter.jp/fact-check/international/false-claims-about-trump-and-biden/,2023/9/29,誤り,国際,https://x.com/i/status/1703182466708910307,"テキスト,画像1",投稿された画像は2023年9月8日～14日にかけて実施したロイターの世論調査結果ではない。,https://www.reuters.com/world/us/biden-weighed-by-economic-concerns-age-potential-2024-rematch-with-trump-2023-09-15/,投稿された画像は2023年9月8日～14日にかけて実施したロイターの世論調査結果ではない。,True,True,https://www.reuters.com/fact-check/simulated-2024-election-poll-numbers-falsely-attributed-reuters-2023-09-19/ https://www.reuters.com/world/us/biden-weighed-by-economic-concerns-age-potential-2024-rematch-with-trump-2023-09-15/,True,「トランプ大統領がバイデンに大差をつけているとロイターが報じている」という画像は、ロイターが作成したものではない。したがって、トランプ大統領がバイデンに大差をつけているとロイターが報じていないという言説は正しいと判定した。,1,False,False,False,-,-,-,-,-,-,-,-,-,0,-,-,-,NA,False
127,https://www.factcheckcenter.jp/fact-check/international/false-video-of-hamas-infiltrating-israel-with-parachutes/,2023/10/10,誤り,国際,https://x.com/i/status/1711013453144424868,"テキスト,動画1",投稿された動画は、2023年10月のイスラム組織ハマスとイスラエルの軍事衝突に関連し、「ハマスがイスラエルにパラシュートで侵入した」とするものである。,https://www.huffingtonpost.jp/entry/isreal-fc_jp_65247c62e4b09f4b8d417d5a,投稿された動画は2023年10月のイスラエルとハマスの戦闘とは関係ない。,False,False,https://www.facebook.com/100077706392690/posts/855520256081276/ https://x.com/i/status/1711013453144424868 https://www.huffingtonpost.jp/entry/isreal-fc_jp_65247c62e4b09f4b8d417d5a https://www.verifythis.com/article/news/verify/global-conflicts/video-does-not-show-hamas-militants-parachuting-into-israel-egypt-tiktok-fact-check/536-29ef8b37-877c-49f4-a0d2-7ca7c4754f5e,False,動画は、周囲の状況や投稿のタイミングから、イスラエルとハマスの戦闘を撮影したものではないため、誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,True,True
128,https://www.factcheckcenter.jp/fact-check/international/false-video-of-hamas-infiltrating-israel-with-parachutes/,2023/10/10,誤り,国際,https://x.com/i/status/1711013453144424868,"テキスト,動画1",投稿された動画は2023年10月のイスラエルとハマスの戦闘とは関係ない。,https://www.huffingtonpost.jp/entry/isreal-fc_jp_65247c62e4b09f4b8d417d5a,投稿された動画は2023年10月のイスラエルとハマスの戦闘とは関係ない。,False,True,https://www.facebook.com/100077706392690/posts/855520256081276/ https://x.com/i/status/1711013453144424868 https://www.huffingtonpost.jp/entry/isreal-fc_jp_65247c62e4b09f4b8d417d5a https://www.verifythis.com/article/news/verify/global-conflicts/video-does-not-show-hamas-militants-parachuting-into-israel-egypt-tiktok-fact-check/536-29ef8b37-877c-49f4-a0d2-7ca7c4754f5e,True,動画は、周囲の状況や投稿のタイミングから、イスラエルとハマスの戦闘を撮影したものではない。したがって、言説は正しいと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
129,https://www.factcheckcenter.jp/fact-check/international/israeli-soldiers-hamas-aircraft-missile-attack-factcheck/,2023/10/10,誤り,国際,https://x.com/i/status/1711418879879397752,"テキスト,動画1",投稿された動画は、2023年10月にイスラエル兵がイスラム組織ハマスの航空機を撃墜したものである。,https://www.reuters.com/article/factcheck-ukraine-arma-3-idUSL1N35A1ZR/,投稿された2023年10月にイスラエル兵がイスラム組織ハマスの航空機を撃墜したとされる動画は、ミリタリーゲームの映像を使った偽動画である。,False,False,https://www.youtube.com/watch?v=SHP9iH8Wuoo https://www.bohemia.net/blog/arma-3-footage-being-used-as-fake-news https://www.reuters.com/article/factcheck-ukraine-arma-3-idUSL1N35A1ZR/ https://jp.reuters.com/article/factcheck-arma-game/fact-check-video-shows-arma-3-game-not-russian-and-ukrainian-planes-idUSL1N3A91K8/,False,イスラエル兵がイスラム組織ハマスのヘリコプターを撃墜したとする映像は、ミリタリーゲームの映像を使った偽動画で誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,True,True
130,https://www.factcheckcenter.jp/fact-check/international/israeli-soldiers-hamas-aircraft-missile-attack-factcheck/,2023/10/10,誤り,国際,https://x.com/i/status/1711418879879397752,"テキスト,動画1",投稿された2023年10月にイスラエル兵がイスラム組織ハマスの航空機を撃墜したとされる動画は、ミリタリーゲームの映像を使った偽動画である。,https://www.reuters.com/article/factcheck-ukraine-arma-3-idUSL1N35A1ZR/,投稿された2023年10月にイスラエル兵がイスラム組織ハマスの航空機を撃墜したとされる動画は、ミリタリーゲームの映像を使った偽動画である。,False,True,https://www.youtube.com/watch?v=SHP9iH8Wuoo https://www.bohemia.net/blog/arma-3-footage-being-used-as-fake-news https://www.reuters.com/article/factcheck-ukraine-arma-3-idUSL1N35A1ZR/ https://jp.reuters.com/article/factcheck-arma-game/fact-check-video-shows-arma-3-game-not-russian-and-ukrainian-planes-idUSL1N3A91K8/,True,イスラエル兵がイスラム組織ハマスのヘリコプターを撃墜したとする映像は、ミリタリーゲームの映像を使った偽動画で誤り。したがって、言説は正しいと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
131,https://www.factcheckcenter.jp/fact-check/international/palestine-fabricating-casualties-video-false/,2023/10/13,誤り,国際,https://x.com/i/status/1712125653607399881,"テキスト,動画1",投稿された動画は、2023年10月のイスラム組織ハマスとイスラエルの軍事衝突に関連した、「パレスチナが死者を捏造している」動画である。,https://www.tiktok.com/@directeur.tamer/video/7266886648707779845,投稿された動画は、2023年10月のイスラム組織ハマスとイスラエルの軍事衝突に関連した、「パレスチナが死者を捏造している」動画は、ゾンビをモチーフにしたショート動画の撮影風景を映したものである。,True,False,https://x.com/i/status/1712125653607399881 https://www.tiktok.com/@directeur.tamer/video/7266886648707779845,False,「パレスチナが死者を捏造している」は、誤り。証拠とされた動画はイスラエルとハマスの戦闘とは関係がなく、ゾンビをモチーフにしたショート動画の撮影風景を映したもの。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,True,True
132,https://www.factcheckcenter.jp/fact-check/international/palestine-fabricating-casualties-video-false/,2023/10/13,誤り,国際,https://x.com/i/status/1712125653607399881,"テキスト,動画1",投稿された動画は、2023年10月のイスラム組織ハマスとイスラエルの軍事衝突に関連した、「パレスチナが死者を捏造している」動画は、ゾンビをモチーフにしたショート動画の撮影風景を映したものである。,https://www.tiktok.com/@directeur.tamer/video/7266886648707779845,投稿された動画は、2023年10月のイスラム組織ハマスとイスラエルの軍事衝突に関連した、「パレスチナが死者を捏造している」動画は、ゾンビをモチーフにしたショート動画の撮影風景を映したものである。,True,True,https://x.com/i/status/1712125653607399881 https://www.tiktok.com/@directeur.tamer/video/7266886648707779845,True,「パレスチナが死者を捏造している」動画は、イスラエルとハマスの戦闘とは関係がなく、ゾンビをモチーフにしたショート動画の撮影風景を映したもの。したがって、言説は正しいと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
133,https://www.factcheckcenter.jp/fact-check/international/video-bbc-reports-inaccuracy-ukraine-supplying-weapons-hamas/,2023/10/17,誤り,国際,https://x.com/i/status/1711855146630586411,"テキスト,動画1",2023年10月にBBCが『アメリカやNATOがウクライナに渡した武器がハマスに渡り、イスラエルに対して使われている』と報じた。,https://x.com/i/status/1711792120011391307,2023年10月にBBCが『アメリカやNATOがウクライナに渡した武器がハマスに渡り、イスラエルに対して使われている』と報じた動画は、加工された動画である。,False,False,https://x.com/i/status/1711788647425409104 https://x.com/i/status/1711782985815453902 https://www.bbc.com/news/bbcverify https://x.com/i/status/1711792120011391307,False,「ウクライナがハマスに武器を渡したとBBCが報じた」は、誤り。拡散した動画は、BBCのロゴやブランドを使って偽造されたもので、BBC、べリングキャット、動画に登場する教授の3者がいずれも「フェイクニュースだ」と否定している。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,True,False,True,True
134,https://www.factcheckcenter.jp/fact-check/international/video-bbc-reports-inaccuracy-ukraine-supplying-weapons-hamas/,2023/10/17,誤り,国際,https://x.com/i/status/1711855146630586411,"テキスト,動画1",2023年10月にBBCが『アメリカやNATOがウクライナに渡した武器がハマスに渡り、イスラエルに対して使われている』と報じた動画は、加工された動画である。,https://x.com/i/status/1711792120011391307,2023年10月にBBCが『アメリカやNATOがウクライナに渡した武器がハマスに渡り、イスラエルに対して使われている』と報じた動画は、加工された動画である。,False,True,https://x.com/i/status/1711788647425409104 https://x.com/i/status/1711782985815453902 https://www.bbc.com/news/bbcverify https://x.com/i/status/1711792120011391307,True,「ウクライナがハマスに武器を渡したとBBCが報じた」は、誤り。拡散した動画は、BBCのロゴやブランドを使って偽造されたもので、BBC、べリングキャット、動画に登場する教授の3者がいずれも「フェイクニュースだ」と否定している。したがって、言説は正しいと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,False,False,True,False
135,https://www.factcheckcenter.jp/fact-check/international/israeli-occupation-forces-alleged-gaza-nuclear-bombing-misinformation/,2023/10/20,誤り,国際,https://x.com/i/status/1713572797291901167,"テキスト,動画1",2023年10月のイスラエル・パレスチナの武力衝突に関連し、イスラエル占領軍がガザに核爆撃した。,https://www.youtube.com/shorts/Y9mWTuiF5_0,投稿された動画は、2020年に起きたレバノンのベイルート港爆発事故の様子を撮影した動画である。,True,False,https://www.youtube.com/shorts/Y9mWTuiF5_0 https://www.cnn.co.jp/world/35157797.html https://www.bbc.com/japanese/53674255,False,動画は、2020年に起きたレバノンのベイルート港爆発事故の様子を撮影したもので、イスラエル・パレスチナでの武力衝突とは関係ない。硝酸アンモニウムによる爆発で、核爆発でもない。したがって、誤りと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,True,True
136,https://www.factcheckcenter.jp/fact-check/international/israeli-occupation-forces-alleged-gaza-nuclear-bombing-misinformation/,2023/10/20,誤り,国際,https://x.com/i/status/1713572797291901167,"テキスト,動画1",投稿された動画は、2020年に起きたレバノンのベイルート港爆発事故の様子を撮影した動画である。,https://www.youtube.com/shorts/Y9mWTuiF5_0,投稿された動画は、2020年に起きたレバノンのベイルート港爆発事故の様子を撮影した動画である。,True,True,https://www.youtube.com/shorts/Y9mWTuiF5_0 https://www.cnn.co.jp/world/35157797.html https://www.bbc.com/japanese/53674255,True,動画は、2020年に起きたレバノンのベイルート港爆発事故の様子を撮影したもので、イスラエル・パレスチナでの武力衝突とは関係ない。硝酸アンモニウムによる爆発で、核爆発でもない。したがって、言説は正しいと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
137,https://www.factcheckcenter.jp/fact-check/international/misinformation-video-of-hamas-rocket-losing-control-hitting-hospital-instantly/,2023/10/25,誤り,国際,https://x.com/i/status/1714378093211824187,"テキスト,動画1",投稿された動画は、2023年10月のイスラエル・パレスチナの武力衝突に関連し、「ハマスのロケットがコントロールを失い、ガザの病院を直撃した」動画である。,https://x.com/i/status/1556342315211538432,投稿された動画は、2022年8月に撮影された動画である。,False,False,https://www.almayadeen.net/ https://www.memri.org/tv/pij-rocket-misfire-live-tv-lands-gaza-neighborhood-reporter https://twitter.com/i/status/1556342315211538432 https://www.bbc.com/japanese/67142149 https://apnews.com/article/hospital-airstrike-gaza-rocket-74ae3e38d9f771abd23d6d49c814b980,False,今回の映像を用いての「ハマスのロケットがコントロールを失い病院に直撃した」という言説は誤り。証拠とされた映像は2023年10月17日に発生した病院の爆発とは無関係であり、2022年8月に撮影されたものである。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,True,False,True,True
138,https://www.factcheckcenter.jp/fact-check/international/misinformation-video-of-hamas-rocket-losing-control-hitting-hospital-instantly/,2023/10/25,誤り,国際,https://x.com/i/status/1714378093211824187,"テキスト,動画1",投稿された動画は、2022年8月に撮影された動画である。,https://x.com/i/status/1556342315211538432,投稿された動画は、2022年8月に撮影された動画である。,False,True,https://www.almayadeen.net/ https://www.memri.org/tv/pij-rocket-misfire-live-tv-lands-gaza-neighborhood-reporter https://twitter.com/i/status/1556342315211538432 https://www.bbc.com/japanese/67142149 https://apnews.com/article/hospital-airstrike-gaza-rocket-74ae3e38d9f771abd23d6d49c814b980,True,証拠とされた映像は2023年10月17日に発生した病院の爆発とは無関係であり、2022年8月に撮影されたものである。したがって、イスラエル・パレスチナの武力衝突に関連し、「ハマスのロケットがコントロールを失い、ガザの病院を直撃した」動画ではないという言説は正しいと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,False,False,False,True,False
